FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Metro_2023,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Civilian_labor_force_2023,Employed_2023,Unemployed_2023,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
04003,AZ,"Cochise County, AZ",3,2,1,"48,657","46,466","2,191",4.5,"50,457","48,011","2,446",4.8,"52,619","49,480","3,139",6.0,"53,904","50,832","3,072",5.7,"54,516","51,827","2,689",4.9,"55,374","52,724","2,650",4.8,"56,835","54,218","2,617",4.6,"56,983","54,709","2,274",4.0,"60,117","56,801","3,316",5.5,"63,101","58,204","4,897",7.8,"57,146","51,843","5,303",9.3,"56,190","50,870","5,320",9.5,"54,343","49,438","4,905",9.0,"51,900","47,097","4,803",9.3,"51,273","46,954","4,319",8.4,"50,586","46,891","3,695",7.3,"49,799","46,647","3,152",6.3,"48,125","45,406","2,719",5.6,"48,079","45,396","2,683",5.6,"48,778","45,986","2,792",5.7,"50,273","46,793","3,480",6.9,"48,938","46,465","2,473",5.1,"48,730","46,597","2,133",4.4,"49,585","47,337","2,248",4.5,"55,254",74.3
04019,AZ,"Pima County, AZ",1,2,1,"409,884","394,670","15,214",3.7,"416,341","398,250","18,091",4.3,"424,352","399,866","24,486",5.8,"428,187","405,261","22,926",5.4,"437,675","417,344","20,331",4.6,"438,417","418,851","19,566",4.5,"448,856","430,294","18,562",4.1,"456,210","439,740","16,470",3.6,"473,209","447,233","25,976",5.5,"486,097","443,226","42,871",8.8,"479,984","435,352","44,632",9.3,"469,332","429,711","39,621",8.4,"466,804","432,392","34,412",7.4,"462,267","430,789","31,478",6.8,"465,898","437,713","28,185",6.0,"467,826","442,099","25,727",5.5,"471,452","447,695","23,757",5.0,"464,230","443,046","21,184",4.6,"470,435","449,635","20,800",4.4,"482,462","460,801","21,661",4.5,"481,338","444,682","36,656",7.6,"482,454","457,762","24,692",5.1,"486,536","468,109","18,427",3.8,"494,336","475,422","18,914",3.8,"64,007",86.1
04023,AZ,"Santa Cruz County, AZ",6,5,0,"14,755","13,539","1,216",8.2,"15,061","13,745","1,316",8.7,"15,349","13,780","1,569",10.2,"15,667","14,165","1,502",9.6,"15,564","14,093","1,471",9.5,"15,930","14,560","1,370",8.6,"16,650","15,353","1,297",7.8,"17,058","15,828","1,230",7.2,"17,783","15,930","1,853",10.4,"18,564","15,704","2,860",15.4,"20,917","17,748","3,169",15.2,"20,567","17,407","3,160",15.4,"20,293","17,157","3,136",15.5,"20,355","17,210","3,145",15.5,"20,422","17,777","2,645",13.0,"19,986","17,687","2,299",11.5,"19,282","17,317","1,965",10.2,"18,601","16,816","1,785",9.6,"18,714","16,997","1,717",9.2,"18,998","17,364","1,634",8.6,"18,862","16,724","2,138",11.3,"18,888","17,221","1,667",8.8,"18,708","17,298","1,410",7.5,"19,216","17,760","1,456",7.6,"53,467",71.9
04027,AZ,"Yuma County, AZ",3,2,1,"64,393","53,819","10,574",16.4,"65,374","54,543","10,831",16.6,"69,319","57,451","11,868",17.1,"72,729","60,378","12,351",17.0,"73,482","61,978","11,504",15.7,"75,545","63,556","11,989",15.9,"77,446","65,636","11,810",15.2,"78,208","67,478","10,730",13.7,"83,416","68,876","14,540",17.4,"87,485","67,830","19,655",22.5,"92,909","69,699","23,210",25.0,"92,260","70,065","22,195",24.1,"94,613","72,028","22,585",23.9,"95,948","71,342","24,606",25.6,"93,996","72,444","21,552",22.9,"94,249","73,736","20,513",21.8,"94,671","76,590","18,081",19.1,"93,326","77,245","16,081",17.2,"94,341","78,393","15,948",16.9,"97,017","80,867","16,150",16.6,"95,258","78,941","16,317",17.1,"93,520","81,293","12,227",13.1,"97,522","85,370","12,152",12.5,"98,597","85,581","13,016",13.2,"54,209",72.9
06025,CA,"Imperial County, CA",3,2,1,"55,945","46,291","9,654",17.3,"55,481","46,598","8,883",16.0,"57,290","48,650","8,640",15.1,"58,740","49,493","9,247",15.7,"59,445","49,310","10,135",17.0,"60,583","50,934","9,649",15.9,"63,109","53,393","9,716",15.4,"65,955","54,157","11,798",17.9,"72,509","56,114","16,395",22.6,"76,558","54,882","21,676",28.3,"79,098","55,836","23,262",29.4,"79,611","56,301","23,310",29.3,"79,347","57,355","21,992",27.7,"78,165","58,391","19,774",25.3,"78,264","59,281","18,983",24.3,"76,750","57,864","18,886",24.6,"75,186","56,998","18,188",24.2,"72,049","57,886","14,163",19.7,"71,112","57,756","13,356",18.8,"73,545","58,295","15,250",20.7,"71,538","55,364","16,174",22.6,"68,865","56,838","12,027",17.5,"69,936","59,517","10,419",14.9,"73,294","60,637","12,657",17.3,"55,523",60.7
06073,CA,"San Diego County, CA",1,1,1,"1,375,223","1,322,119","53,104",3.9,"1,405,911","1,346,728","59,183",4.2,"1,442,325","1,367,542","74,783",5.2,"1,457,231","1,380,708","76,523",5.3,"1,478,132","1,408,251","69,881",4.7,"1,490,071","1,426,095","63,976",4.3,"1,498,544","1,439,206","59,338",4.0,"1,517,503","1,449,165","68,338",4.5,"1,546,617","1,453,044","93,573",6.1,"1,561,162","1,408,178","152,984",9.8,"1,515,862","1,348,833","167,029",11.0,"1,521,745","1,361,865","159,880",10.5,"1,536,925","1,394,274","142,651",9.3,"1,537,644","1,415,625","122,019",7.9,"1,537,512","1,437,398","100,114",6.5,"1,548,794","1,467,686","81,108",5.2,"1,563,246","1,489,143","74,103",4.7,"1,570,791","1,507,180","63,611",4.0,"1,579,787","1,526,622","53,165",3.4,"1,580,775","1,529,389","51,386",3.3,"1,544,298","1,399,329","144,969",9.4,"1,544,408","1,444,339","100,069",6.5,"1,578,463","1,523,260","55,203",3.5,"1,596,432","1,534,417","62,015",3.9,"98,365",107.5
35013,NM,"Dona Ana County, NM",3,2,1,"75,962","71,244","4,718",6.2,"76,531","71,848","4,683",6.1,"78,692","73,817","4,875",6.2,"81,055","75,784","5,271",6.5,"81,506","76,461","5,045",6.2,"83,973","79,142","4,831",5.8,"84,538","80,574","3,964",4.7,"85,682","82,263","3,419",4.0,"87,857","83,858","3,999",4.6,"89,070","82,937","6,133",6.9,"92,896","85,982","6,914",7.4,"92,873","86,124","6,749",7.3,"93,870","87,140","6,730",7.2,"94,284","87,259","7,025",7.5,"94,455","87,658","6,797",7.2,"94,974","87,947","7,027",7.4,"96,370","89,390","6,980",7.2,"96,802","90,304","6,498",6.7,"96,870","91,379","5,491",5.7,"98,120","92,439","5,681",5.8,"96,511","88,977","7,534",7.8,"98,454","91,646","6,808",6.9,"99,295","94,887","4,408",4.4,"102,153","97,763","4,390",4.3,"52,011",86.9
35017,NM,"Grant County, NM",7,8,0,"12,772","12,020",752,5.9,"12,976","12,155",821,6.3,"12,629","11,389","1,240",9.8,"11,812","10,601","1,211",10.3,"11,714","10,727",987,8.4,"11,841","11,121",720,6.1,"12,051","11,533",518,4.3,"12,054","11,612",442,3.7,"12,227","11,647",580,4.7,"11,648","10,247","1,401",12.0,"12,247","11,110","1,137",9.3,"12,705","11,816",889,7.0,"13,023","12,174",849,6.5,"12,919","12,048",871,6.7,"12,587","11,766",821,6.5,"12,555","11,733",822,6.5,"12,559","11,740",819,6.5,"12,379","11,635",744,6.0,"12,341","11,747",594,4.8,"12,232","11,638",594,4.9,"11,727","10,738",989,8.4,"11,456","10,595",861,7.5,"11,589","11,108",481,4.2,"11,712","11,301",411,3.5,"47,099",78.7
35023,NM,"Hidalgo County, NM",9,9,0,"2,615","2,434",181,6.9,"2,559","2,404",155,6.1,"2,370","2,265",105,4.4,"2,365","2,244",121,5.1,"2,349","2,210",139,5.9,"2,418","2,295",123,5.1,"2,400","2,314",86,3.6,"2,483","2,411",72,2.9,"2,590","2,483",107,4.1,"2,643","2,439",204,7.7,"2,284","2,097",187,8.2,"2,272","2,107",165,7.3,"2,340","2,172",168,7.2,"2,187","2,023",164,7.5,"2,159","2,007",152,7.0,"2,150","2,015",135,6.3,"2,219","2,095",124,5.6,"2,154","2,045",109,5.1,"2,220","2,136",84,3.8,"2,089","1,999",90,4.3,"1,906","1,801",105,5.5,"1,888","1,780",108,5.7,"1,894","1,829",65,3.4,"1,763","1,705",58,3.3,"43,610",72.9
35029,NM,"Luna County, NM",6,5,0,"10,686","9,002","1,684",15.8,"10,675","8,893","1,782",16.7,"11,064","9,415","1,649",14.9,"11,998","10,079","1,919",16.0,"11,888","10,033","1,855",15.6,"12,420","10,783","1,637",13.2,"12,149","10,825","1,324",10.9,"12,105","10,925","1,180",9.7,"12,148","10,732","1,416",11.7,"12,193","10,175","2,018",16.6,"11,516","9,288","2,228",19.3,"11,366","9,146","2,220",19.5,"11,438","9,195","2,243",19.6,"11,362","9,210","2,152",18.9,"11,410","9,373","2,037",17.9,"11,130","9,184","1,946",17.5,"10,870","9,283","1,587",14.6,"10,657","9,178","1,479",13.9,"10,182","8,980","1,202",11.8,"10,386","9,104","1,282",12.3,"10,129","8,576","1,553",15.3,"10,140","8,593","1,547",15.3,"9,845","8,861",984,10.0,"10,089","9,077","1,012",10.0,"38,796",64.8
35035,NM,"Otero County, NM",4,5,0,"24,229","22,922","1,307",5.4,"24,306","22,994","1,312",5.4,"24,643","23,256","1,387",5.6,"25,202","23,666","1,536",6.1,"26,323","24,974","1,349",5.1,"26,459","25,131","1,328",5.0,"25,663","24,573","1,090",4.2,"25,620","24,685",935,3.6,"25,590","24,512","1,078",4.2,"25,622","24,000","1,622",6.3,"24,796","23,075","1,721",6.9,"24,557","22,947","1,610",6.6,"25,081","23,482","1,599",6.4,"25,397","23,784","1,613",6.4,"24,883","23,347","1,536",6.2,"25,168","23,594","1,574",6.3,"25,674","24,101","1,573",6.1,"25,216","23,695","1,521",6.0,"24,776","23,561","1,215",4.9,"24,933","23,676","1,257",5.0,"25,111","23,128","1,983",7.9,"25,262","23,531","1,731",6.9,"25,081","24,031","1,050",4.2,"24,973","23,970","1,003",4.0,"52,787",88.2
35051,NM,"Sierra County, NM",6,6,0,"5,257","5,021",236,4.5,"5,325","5,073",252,4.7,"5,322","5,038",284,5.3,"5,279","4,986",293,5.6,"5,295","4,995",300,5.7,"5,379","5,085",294,5.5,"5,337","5,100",237,4.4,"5,466","5,281",185,3.4,"5,826","5,599",227,3.9,"5,893","5,574",319,5.4,"3,993","3,641",352,8.8,"3,865","3,497",368,9.5,"3,975","3,593",382,9.6,"4,013","3,623",390,9.7,"3,970","3,610",360,9.1,"4,058","3,685",373,9.2,"4,094","3,745",349,8.5,"4,214","3,890",324,7.7,"4,107","3,821",286,7.0,"3,924","3,658",266,6.8,"4,050","3,697",353,8.7,"4,094","3,751",343,8.4,"3,941","3,705",236,6.0,"3,877","3,645",232,6.0,"40,420",67.5
48043,TX,"Brewster County, TX",7,11,0,"4,566","4,386",180,3.9,"4,724","4,533",191,4.0,"4,840","4,608",232,4.8,"5,110","4,865",245,4.8,"5,411","5,177",234,4.3,"5,270","5,070",200,3.8,"5,414","5,227",187,3.5,"5,221","5,046",175,3.4,"5,106","4,917",189,3.7,"5,168","4,907",261,5.1,"4,919","4,649",270,5.5,"4,856","4,577",279,5.7,"4,552","4,322",230,5.1,"4,146","3,914",232,5.6,"4,062","3,871",191,4.7,"3,911","3,756",155,4.0,"3,963","3,814",149,3.8,"3,938","3,799",139,3.5,"4,014","3,879",135,3.4,"4,157","4,036",121,2.9,"4,089","3,818",271,6.6,"4,227","4,034",193,4.6,"4,218","4,072",146,3.5,"4,417","4,274",143,3.2,"52,388",72.5
48047,TX,"Brooks County, TX",9,9,0,"2,895","2,696",199,6.9,"3,113","2,928",185,5.9,"3,197","2,954",243,7.6,"3,298","3,028",270,8.2,"3,251","3,007",244,7.5,"3,105","2,893",212,6.8,"3,031","2,840",191,6.3,"3,084","2,917",167,5.4,"3,272","3,098",174,5.3,"3,318","3,009",309,9.3,"2,597","2,285",312,12.0,"2,693","2,397",296,11.0,"2,715","2,479",236,8.7,"2,761","2,510",251,9.1,"2,704","2,492",212,7.8,"2,604","2,344",260,10.0,"2,441","2,152",289,11.8,"2,415","2,214",201,8.3,"2,434","2,277",157,6.5,"2,596","2,464",132,5.1,"2,585","2,309",276,10.7,"2,504","2,277",227,9.1,"2,375","2,231",144,6.1,"2,295","2,168",127,5.5,"35,359",48.9
48061,TX,"Cameron County, TX",2,2,1,"127,525","118,520","9,005",7.1,"131,078","120,830","10,248",7.8,"138,254","125,842","12,412",9.0,"142,082","128,489","13,593",9.6,"141,769","129,379","12,390",8.7,"140,866","130,014","10,852",7.7,"143,072","133,521","9,551",6.7,"142,921","134,360","8,561",6.0,"146,091","136,353","9,738",6.7,"151,819","137,116","14,703",9.7,"162,522","144,310","18,212",11.2,"165,944","146,311","19,633",11.8,"165,860","148,873","16,987",10.2,"166,810","150,060","16,750",10.0,"166,204","152,175","14,029",8.4,"163,191","151,483","11,708",7.2,"166,111","154,169","11,942",7.2,"165,051","153,499","11,552",7.0,"164,717","154,504","10,213",6.2,"165,324","156,197","9,127",5.5,"170,184","152,951","17,233",10.1,"176,084","161,984","14,100",8.0,"177,980","167,764","10,216",5.7,"181,270","171,454","9,816",5.4,"49,583",68.6
48105,TX,"Crockett County, TX",8,11,0,"2,048","1,970",78,3.8,"2,041","1,970",71,3.5,"2,108","2,014",94,4.5,"2,176","2,087",89,4.1,"2,090","2,010",80,3.8,"2,044","1,968",76,3.7,"2,028","1,957",71,3.5,"2,070","2,008",62,3.0,"2,207","2,143",64,2.9,"2,288","2,093",195,8.5,"1,725","1,576",149,8.6,"1,715","1,597",118,6.9,"1,769","1,681",88,5.0,"1,880","1,783",97,5.2,"1,930","1,856",74,3.8,"1,901","1,786",115,6.0,"1,737","1,606",131,7.5,"1,667","1,599",68,4.1,"1,621","1,573",48,3.0,"1,618","1,571",47,2.9,"1,546","1,408",138,8.9,"1,474","1,376",98,6.6,"1,432","1,375",57,4.0,"1,503","1,453",50,3.3,"71,851",99.4
48109,TX,"Culberson County, TX",9,12,0,"1,495","1,409",86,5.8,"1,547","1,474",73,4.7,"1,606","1,510",96,6.0,"1,599","1,510",89,5.6,"1,545","1,463",82,5.3,"1,655","1,589",66,4.0,"1,637","1,585",52,3.2,"1,753","1,705",48,2.7,"1,756","1,704",52,3.0,"1,814","1,743",71,3.9,"1,034",960,74,7.2,"1,018",945,73,7.2,987,928,59,6.0,"1,017",965,52,5.1,"1,012",969,43,4.2,"1,041",997,44,4.2,"1,000",959,41,4.1,916,882,34,3.7,968,938,30,3.1,"1,034",991,43,4.2,"1,126","1,052",74,6.6,"1,075","1,023",52,4.8,"1,159","1,126",33,2.8,"1,246","1,206",40,3.2,"52,160",72.2
48127,TX,"Dimmit County, TX",7,6,0,"3,872","3,532",340,8.8,"3,878","3,578",300,7.7,"4,025","3,655",370,9.2,"4,248","3,847",401,9.4,"3,995","3,635",360,9.0,"3,830","3,512",318,8.3,"3,831","3,536",295,7.7,"3,961","3,709",252,6.4,"3,970","3,708",262,6.6,"4,210","3,791",419,10.0,"3,861","3,453",408,10.6,"4,911","4,519",392,8.0,"5,751","5,418",333,5.8,"6,769","6,427",342,5.1,"7,648","7,355",293,3.8,"7,164","6,830",334,4.7,"6,242","5,796",446,7.1,"6,441","6,113",328,5.1,"7,303","7,082",221,3.0,"7,384","7,197",187,2.5,"6,461","6,049",412,6.4,"5,928","5,599",329,5.5,"6,180","5,942",238,3.9,"6,288","6,085",203,3.2,"44,312",61.3
48131,TX,"Duval County, TX",9,9,0,"5,024","4,667",357,7.1,"5,226","4,891",335,6.4,"5,068","4,603",465,9.2,"5,279","4,837",442,8.4,"5,276","4,913",363,6.9,"5,271","4,943",328,6.2,"5,238","4,950",288,5.5,"5,137","4,882",255,5.0,"5,176","4,898",278,5.4,"5,269","4,695",574,10.9,"5,047","4,457",590,11.7,"5,213","4,706",507,9.7,"5,419","5,040",379,7.0,"5,531","5,175",356,6.4,"5,523","5,211",312,5.6,"5,241","4,815",426,8.1,"4,887","4,352",535,10.9,"4,768","4,399",369,7.7,"5,028","4,763",265,5.3,"4,914","4,695",219,4.5,"4,823","4,236",587,12.2,"5,472","5,034",438,8.0,"5,069","4,841",228,4.5,"4,987","4,768",219,4.4,"40,539",56.1
