FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Metro_2023,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Civilian_labor_force_2023,Employed_2023,Unemployed_2023,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
48137,TX,"Edwards County, TX",9,12,0,956,914,42,4.4,"1,040",993,47,4.5,"1,072","1,017",55,5.1,"1,140","1,091",49,4.3,"1,104","1,059",45,4.1,"1,031",989,42,4.1,961,919,42,4.4,"1,001",961,40,4.0,"1,043","1,004",39,3.7,"1,079","1,003",76,7.0,"1,038",964,74,7.1,990,923,67,6.8,925,866,59,6.4,902,849,53,5.9,866,828,38,4.4,865,825,40,4.6,867,827,40,4.6,899,870,29,3.2,877,852,25,2.9,"1,040","1,016",24,2.3,"1,234","1,190",44,3.6,"1,287","1,232",55,4.3,"1,193","1,158",35,2.9,"1,264","1,233",31,2.5,"50,752",70.2
48141,TX,"El Paso County, TX",2,2,1,"275,899","257,068","18,831",6.8,"275,534","255,531","20,003",7.3,"283,212","260,151","23,061",8.1,"288,427","263,013","25,414",8.8,"288,764","266,900","21,864",7.6,"291,327","270,545","20,782",7.1,"291,307","271,535","19,772",6.8,"291,434","274,214","17,220",5.9,"298,075","279,688","18,387",6.2,"308,412","281,253","27,159",8.8,"341,489","309,927","31,562",9.2,"346,916","312,917","33,999",9.8,"346,680","317,204","29,476",8.5,"346,619","318,975","27,644",8.0,"344,136","321,731","22,405",6.5,"341,782","323,955","17,827",5.2,"349,935","332,601","17,334",5.0,"351,540","335,163","16,377",4.7,"355,713","340,580","15,133",4.3,"359,596","345,847","13,749",3.8,"361,398","331,382","30,016",8.3,"366,331","343,774","22,557",6.2,"370,182","354,166","16,016",4.3,"378,938","362,318","16,620",4.4,"53,441",73.9
48163,TX,"Frio County, TX",6,4,0,"6,179","5,798",381,6.2,"6,235","5,829",406,6.5,"6,293","5,807",486,7.7,"6,617","6,097",520,7.9,"6,493","6,036",457,7.0,"6,399","6,008",391,6.1,"6,463","6,107",356,5.5,"6,510","6,188",322,4.9,"6,869","6,499",370,5.4,"7,460","6,905",555,7.4,"7,595","7,038",557,7.3,"7,966","7,432",534,6.7,"8,652","8,219",433,5.0,"9,268","8,831",437,4.7,"10,326","9,952",374,3.6,"9,806","9,427",379,3.9,"8,783","8,355",428,4.9,"9,294","8,925",369,4.0,"10,110","9,820",290,2.9,"10,351","10,079",272,2.6,"9,515","8,975",540,5.7,"9,477","9,022",455,4.8,"9,490","9,164",326,3.4,"9,383","9,078",305,3.3,"46,769",64.7
48215,TX,"Hidalgo County, TX",2,2,1,"211,851","192,259","19,592",9.2,"219,379","198,331","21,048",9.6,"230,937","206,838","24,099",10.4,"245,506","219,937","25,569",10.4,"254,517","231,371","23,146",9.1,"261,782","240,836","20,946",8.0,"265,959","246,140","19,819",7.5,"272,038","254,009","18,029",6.6,"282,708","262,352","20,356",7.2,"297,367","266,261","31,106",10.5,"318,793","281,155","37,638",11.8,"326,643","287,651","38,992",11.9,"327,192","292,711","34,481",10.5,"330,700","296,229","34,471",10.4,"331,733","302,287","29,446",8.9,"331,119","304,695","26,424",8.0,"337,251","310,858","26,393",7.8,"340,521","314,913","25,608",7.5,"345,147","322,241","22,906",6.6,"349,181","327,268","21,913",6.3,"359,152","317,207","41,945",11.7,"367,863","334,443","33,420",9.1,"371,568","347,089","24,479",6.6,"378,591","355,519","23,072",6.1,"48,825",67.6
48229,TX,"Hudspeth County, TX",2,2,1,"1,320","1,260",60,4.5,"1,312","1,242",70,5.3,"1,290","1,192",98,7.6,"1,386","1,277",109,7.9,"1,355","1,265",90,6.6,"1,335","1,241",94,7.0,"1,426","1,326",100,7.0,"1,527","1,449",78,5.1,"1,594","1,531",63,4.0,"1,724","1,631",93,5.4,"1,415","1,302",113,8.0,"1,388","1,272",116,8.4,"1,323","1,225",98,7.4,"1,292","1,201",91,7.0,"1,250","1,170",80,6.4,"1,282","1,209",73,5.7,"1,542","1,450",92,6.0,"1,652","1,556",96,5.8,"1,790","1,707",83,4.6,"1,847","1,767",80,4.3,"1,844","1,694",150,8.1,"1,862","1,755",107,5.7,"1,886","1,810",76,4.0,"1,906","1,834",72,3.8,"39,582",54.8
48243,TX,"Jeff Davis County, TX",9,12,0,"1,166","1,121",45,3.9,"1,202","1,157",45,3.7,"1,275","1,217",58,4.5,"1,358","1,302",56,4.1,"1,312","1,262",50,3.8,"1,208","1,161",47,3.9,"1,197","1,148",49,4.1,"1,180","1,141",39,3.3,"1,193","1,149",44,3.7,"1,204","1,147",57,4.7,"1,274","1,211",63,4.9,"1,249","1,185",64,5.1,"1,213","1,154",59,4.9,"1,159","1,111",48,4.1,"1,146","1,104",42,3.7,"1,081","1,045",36,3.3,"1,074","1,042",32,3.0,"1,059","1,025",34,3.2,"1,060","1,029",31,2.9,"1,038","1,008",30,2.9,957,908,49,5.1,"1,033",989,44,4.3,"1,018",982,36,3.5,"1,005",973,32,3.2,"58,285",80.6
48247,TX,"Jim Hogg County, TX",8,6,0,"2,188","2,055",133,6.1,"2,205","2,100",105,4.8,"2,369","2,221",148,6.2,"2,470","2,319",151,6.1,"2,564","2,437",127,5.0,"2,628","2,501",127,4.8,"2,691","2,574",117,4.3,"2,738","2,633",105,3.8,"2,771","2,666",105,3.8,"3,017","2,785",232,7.7,"2,332","2,091",241,10.3,"2,330","2,122",208,8.9,"2,344","2,191",153,6.5,"2,321","2,155",166,7.2,"2,196","2,061",135,6.1,"2,029","1,882",147,7.2,"1,945","1,759",186,9.6,"1,892","1,753",139,7.3,"1,865","1,758",107,5.7,"1,867","1,777",90,4.8,"1,872","1,693",179,9.6,"1,864","1,703",161,8.6,"1,809","1,711",98,5.4,"1,851","1,764",87,4.7,"43,782",60.6
48261,TX,"Kenedy County, TX",9,8,0,207,200,7,3.4,208,201,7,3.4,215,205,10,4.7,230,221,9,3.9,239,229,10,4.2,249,242,7,2.8,244,237,7,2.9,236,229,7,3.0,238,230,8,3.4,236,222,14,5.9,220,205,15,6.8,239,223,16,6.7,253,240,13,5.1,296,284,12,4.1,338,328,10,3.0,282,273,9,3.2,217,207,10,4.6,240,232,8,3.3,245,236,9,3.7,229,221,8,3.5,179,169,10,5.6,186,175,11,5.9,145,136,9,6.2,127,118,9,7.1,"43,274",59.9
48271,TX,"Kinney County, TX",9,10,0,"1,212","1,120",92,7.6,"1,257","1,171",86,6.8,"1,341","1,234",107,8.0,"1,423","1,313",110,7.7,"1,471","1,375",96,6.5,"1,446","1,357",89,6.2,"1,332","1,254",78,5.9,"1,356","1,291",65,4.8,"1,375","1,302",73,5.3,"1,440","1,329",111,7.7,"1,272","1,129",143,11.2,"1,272","1,139",133,10.5,"1,260","1,150",110,8.7,"1,217","1,100",117,9.6,"1,227","1,137",90,7.3,"1,185","1,109",76,6.4,"1,156","1,089",67,5.8,"1,157","1,092",65,5.6,"1,341","1,282",59,4.4,"1,355","1,307",48,3.5,"1,307","1,229",78,6.0,"1,254","1,184",70,5.6,"1,262","1,201",61,4.8,"1,261","1,203",58,4.6,"52,609",72.8
48283,TX,"La Salle County, TX",8,6,0,"2,208","2,050",158,7.2,"2,217","2,066",151,6.8,"2,255","2,066",189,8.4,"2,365","2,181",184,7.8,"2,344","2,188",156,6.7,"2,608","2,460",148,5.7,"2,741","2,601",140,5.1,"2,757","2,621",136,4.9,"2,911","2,754",157,5.4,"2,928","2,658",270,9.2,"2,728","2,481",247,9.1,"3,136","2,917",219,7.0,"3,663","3,500",163,4.4,"4,168","4,010",158,3.8,"4,569","4,426",143,3.1,"4,270","4,091",179,4.2,"3,887","3,687",200,5.1,"4,175","4,021",154,3.7,"4,550","4,439",111,2.4,"4,353","4,248",105,2.4,"3,723","3,472",251,6.7,"3,811","3,648",163,4.3,"4,116","3,997",119,2.9,"4,070","3,965",105,2.6,"40,555",56.1
48311,TX,"McMullen County, TX",8,12,0,400,384,16,4.0,439,422,17,3.9,434,415,19,4.4,458,435,23,5.0,432,411,21,4.9,382,362,20,5.2,340,320,20,5.9,336,319,17,5.1,333,315,18,5.4,361,336,25,6.9,488,467,21,4.3,659,638,21,3.2,742,725,17,2.3,881,857,24,2.7,"1,058","1,037",21,2.0,969,949,20,2.1,862,844,18,2.1,743,729,14,1.9,711,698,13,1.8,809,796,13,1.6,716,696,20,2.8,752,735,17,2.3,851,835,16,1.9,829,815,14,1.7,"67,525",93.4
48323,TX,"Maverick County, TX",3,8,1,"16,559","14,053","2,506",15.1,"16,617","13,697","2,920",17.6,"17,282","13,902","3,380",19.6,"18,595","15,311","3,284",17.7,"18,684","15,905","2,779",14.9,"19,189","16,603","2,586",13.5,"19,579","17,024","2,555",13.0,"19,877","17,574","2,303",11.6,"20,855","18,630","2,225",10.7,"22,780","19,528","3,252",14.3,"23,566","19,979","3,587",15.2,"23,955","20,495","3,460",14.4,"23,305","20,404","2,901",12.4,"23,632","20,659","2,973",12.6,"23,383","20,789","2,594",11.1,"23,666","21,126","2,540",10.7,"24,249","21,519","2,730",11.3,"23,758","21,520","2,238",9.4,"23,473","21,546","1,927",8.2,"23,458","21,676","1,782",7.6,"24,229","20,559","3,670",15.1,"23,814","20,886","2,928",12.3,"23,525","21,646","1,879",8.0,"23,770","21,990","1,780",7.5,"43,407",60.1
48371,TX,"Pecos County, TX",7,11,0,"7,011","6,653",358,5.1,"7,013","6,657",356,5.1,"7,168","6,713",455,6.3,"7,370","6,914",456,6.2,"7,118","6,693",425,6.0,"6,678","6,331",347,5.2,"6,717","6,401",316,4.7,"6,560","6,280",280,4.3,"7,062","6,746",316,4.5,"8,433","7,711",722,8.6,"7,187","6,659",528,7.3,"7,192","6,746",446,6.2,"6,978","6,622",356,5.1,"6,692","6,327",365,5.5,"6,853","6,565",288,4.2,"6,869","6,512",357,5.2,"6,498","6,116",382,5.9,"6,224","5,931",293,4.7,"6,369","6,135",234,3.7,"6,324","6,116",208,3.3,"6,393","5,865",528,8.3,"6,243","5,813",430,6.9,"6,223","5,965",258,4.1,"6,259","6,036",223,3.6,"54,003",74.7
48377,TX,"Presidio County, TX",9,11,0,"3,200","2,663",537,16.8,"3,304","2,795",509,15.4,"3,415","2,879",536,15.7,"3,621","3,054",567,15.7,"3,517","3,015",502,14.3,"3,258","2,895",363,11.1,"3,219","2,875",344,10.7,"3,215","2,924",291,9.1,"3,349","2,999",350,10.5,"3,753","3,149",604,16.1,"3,750","3,055",695,18.5,"3,789","3,197",592,15.6,"3,816","3,312",504,13.2,"3,751","3,265",486,13.0,"3,410","3,008",402,11.8,"3,118","2,784",334,10.7,"3,081","2,751",330,10.7,"3,020","2,733",287,9.5,"3,019","2,808",211,7.0,"3,088","2,889",199,6.4,"3,192","2,717",475,14.9,"3,113","2,797",316,10.2,"3,108","2,914",194,6.2,"3,038","2,848",190,6.3,"43,666",60.4
48385,TX,"Real County, TX",9,10,0,"1,392","1,330",62,4.5,"1,309","1,236",73,5.6,"1,334","1,245",89,6.7,"1,384","1,296",88,6.4,"1,388","1,315",73,5.3,"1,325","1,258",67,5.1,"1,346","1,279",67,5.0,"1,372","1,318",54,3.9,"1,460","1,405",55,3.8,"1,542","1,457",85,5.5,"1,138","1,034",104,9.1,"1,135","1,020",115,10.1,"1,064",965,99,9.3,"1,061",975,86,8.1,"1,058",991,67,6.3,"1,064","1,009",55,5.2,"1,041",982,59,5.7,"1,046",986,60,5.7,"1,041",989,52,5.0,"1,052","1,011",41,3.9,"1,080","1,010",70,6.5,"1,150","1,082",68,5.9,"1,141","1,087",54,4.7,"1,103","1,047",56,5.1,"49,467",68.4
48389,TX,"Reeves County, TX",7,8,0,"5,056","4,606",450,8.9,"4,992","4,626",366,7.3,"5,045","4,338",707,14.0,"4,755","4,214",541,11.4,"4,389","4,011",378,8.6,"4,250","3,930",320,7.5,"4,126","3,869",257,6.2,"4,094","3,878",216,5.3,"4,182","3,940",242,5.8,"4,699","4,164",535,11.4,"5,754","5,244",510,8.9,"5,538","5,082",456,8.2,"5,330","4,974",356,6.7,"5,618","5,292",326,5.8,"5,751","5,516",235,4.1,"5,680","5,406",274,4.8,"6,036","5,715",321,5.3,"6,942","6,692",250,3.6,"9,338","9,143",195,2.1,"11,074","10,879",195,1.8,"8,785","8,153",632,7.2,"8,545","8,053",492,5.8,"8,536","8,241",295,3.5,"9,177","8,894",283,3.1,"53,969",74.7
48427,TX,"Starr County, TX",4,5,0,"17,804","14,797","3,007",16.9,"18,642","15,690","2,952",15.8,"19,924","16,612","3,312",16.6,"21,139","17,763","3,376",16.0,"21,372","18,281","3,091",14.5,"21,288","18,482","2,806",13.2,"21,475","18,949","2,526",11.8,"21,314","19,020","2,294",10.8,"22,286","19,739","2,547",11.4,"24,489","20,479","4,010",16.4,"26,122","21,586","4,536",17.4,"26,232","21,862","4,370",16.7,"25,957","22,207","3,750",14.4,"26,311","22,345","3,966",15.1,"25,990","22,401","3,589",13.8,"25,911","22,395","3,516",13.6,"26,365","22,837","3,528",13.4,"25,930","22,854","3,076",11.9,"25,006","22,461","2,545",10.2,"24,952","22,484","2,468",9.9,"26,050","21,481","4,569",17.5,"25,542","21,554","3,988",15.6,"24,752","22,023","2,729",11.0,"24,458","22,172","2,286",9.3,"35,758",49.5
48435,TX,"Sutton County, TX",9,11,0,"2,160","2,076",84,3.9,"2,265","2,190",75,3.3,"2,381","2,290",91,3.8,"2,485","2,400",85,3.4,"2,589","2,513",76,2.9,"2,706","2,629",77,2.8,"2,832","2,756",76,2.7,"3,106","3,039",67,2.2,"3,517","3,448",69,2.0,"3,459","3,214",245,7.1,"1,997","1,801",196,9.8,"1,948","1,809",139,7.1,"2,010","1,913",97,4.8,"2,061","1,966",95,4.6,"2,018","1,945",73,3.6,"1,720","1,615",105,6.1,"1,592","1,465",127,8.0,"1,496","1,419",77,5.1,"1,447","1,391",56,3.9,"1,406","1,353",53,3.8,"1,210","1,091",119,9.8,"1,163","1,069",94,8.1,"1,040",981,59,5.7,"1,040",980,60,5.8,"68,838",95.2
48443,TX,"Terrell County, TX",9,12,0,514,494,20,3.9,495,470,25,5.1,494,465,29,5.9,498,462,36,7.2,417,392,25,6.0,384,357,27,7.0,387,365,22,5.7,357,339,18,5.0,331,309,22,6.6,384,349,35,9.1,501,467,34,6.8,517,484,33,6.4,547,522,25,4.6,523,497,26,5.0,479,457,22,4.6,435,414,21,4.8,407,390,17,4.2,390,372,18,4.6,375,362,13,3.5,374,361,13,3.5,379,362,17,4.5,414,400,14,3.4,405,390,15,3.7,374,361,13,3.5,"47,969",66.4
48463,TX,"Uvalde County, TX",6,3,0,"11,412","10,752",660,5.8,"11,365","10,630",735,6.5,"11,687","10,828",859,7.4,"12,065","11,136",929,7.7,"12,096","11,242",854,7.1,"11,741","11,020",721,6.1,"11,359","10,674",685,6.0,"10,969","10,385",584,5.3,"11,168","10,526",642,5.7,"11,623","10,707",916,7.9,"11,844","10,779","1,065",9.0,"12,144","11,031","1,113",9.2,"11,924","10,982",942,7.9,"11,927","11,086",841,7.1,"11,671","10,997",674,5.8,"11,687","11,093",594,5.1,"11,813","11,184",629,5.3,"11,617","11,069",548,4.7,"11,383","10,893",490,4.3,"11,392","10,961",431,3.8,"11,266","10,541",725,6.4,"11,328","10,703",625,5.5,"11,264","10,763",501,4.4,"11,269","10,795",474,4.2,"48,427",67.0
48465,TX,"Val Verde County, TX",5,8,0,"17,380","16,276","1,104",6.4,"17,725","16,614","1,111",6.3,"18,852","17,508","1,344",7.1,"19,474","17,936","1,538",7.9,"19,672","18,267","1,405",7.1,"20,131","18,801","1,330",6.6,"20,227","19,002","1,225",6.1,"20,242","19,128","1,114",5.5,"20,442","19,254","1,188",5.8,"21,055","19,122","1,933",9.2,"20,650","18,722","1,928",9.3,"20,466","18,566","1,900",9.3,"19,965","18,452","1,513",7.6,"19,594","18,134","1,460",7.5,"19,358","18,231","1,127",5.8,"19,581","18,398","1,183",6.0,"20,147","18,887","1,260",6.3,"19,943","18,921","1,022",5.1,"22,257","21,388",869,3.9,"22,703","21,945",758,3.3,"21,464","19,672","1,792",8.3,"22,253","20,947","1,306",5.9,"22,262","21,246","1,016",4.6,"22,215","21,003","1,212",5.5,"52,593",72.8
48479,TX,"Webb County, TX",2,2,1,"71,112","66,729","4,383",6.2,"73,156","68,366","4,790",6.5,"77,972","72,325","5,647",7.2,"81,172","75,184","5,988",7.4,"83,160","77,567","5,593",6.7,"85,998","80,774","5,224",6.1,"87,957","83,140","4,817",5.5,"89,376","85,119","4,257",4.8,"92,471","87,522","4,949",5.4,"94,396","86,377","8,019",8.5,"105,189","96,457","8,732",8.3,"107,844","99,571","8,273",7.7,"108,879","101,867","7,012",6.4,"110,145","103,340","6,805",6.2,"111,033","105,313","5,720",5.2,"111,837","106,503","5,334",4.8,"113,897","108,314","5,583",4.9,"114,261","109,410","4,851",4.2,"115,428","111,043","4,385",3.8,"117,535","113,174","4,361",3.7,"115,773","105,964","9,809",8.5,"116,381","109,107","7,274",6.3,"117,568","112,669","4,899",4.2,"120,663","115,845","4,818",4.0,"56,289",77.9
48489,TX,"Willacy County, TX",6,5,0,"7,308","6,577",731,10.0,"7,236","6,445",791,10.9,"7,273","6,359",914,12.6,"7,631","6,725",906,11.9,"7,395","6,556",839,11.3,"7,558","6,832",726,9.6,"7,630","6,927",703,9.2,"7,551","6,931",620,8.2,"7,718","7,031",687,8.9,"8,410","7,411",999,11.9,"7,794","6,662","1,132",14.5,"7,740","6,429","1,311",16.9,"7,404","6,241","1,163",15.7,"7,427","6,247","1,180",15.9,"7,168","6,269",899,12.5,"6,755","5,868",887,13.1,"6,505","5,707",798,12.3,"6,280","5,582",698,11.1,"6,347","5,716",631,9.9,"6,497","5,961",536,8.2,"6,584","5,795",789,12.0,"7,052","6,339",713,10.1,"7,268","6,669",599,8.2,"7,118","6,564",554,7.8,"41,648",57.6
48505,TX,"Zapata County, TX",6,5,0,"3,993","3,668",325,8.1,"4,156","3,854",302,7.3,"4,458","4,070",388,8.7,"4,709","4,293",416,8.8,"4,890","4,532",358,7.3,"5,084","4,741",343,6.7,"4,920","4,615",305,6.2,"4,948","4,682",266,5.4,"5,167","4,881",286,5.5,"5,341","4,763",578,10.8,"5,769","5,167",602,10.4,"6,465","5,925",540,8.4,"6,802","6,374",428,6.3,"7,050","6,607",443,6.3,"6,929","6,564",365,5.3,"6,194","5,718",476,7.7,"5,210","4,648",562,10.8,"5,351","4,949",402,7.5,"5,320","5,023",297,5.6,"5,078","4,821",257,5.1,"4,664","4,093",571,12.2,"4,590","4,055",535,11.7,"4,590","4,268",322,7.0,"4,424","4,141",283,6.4,"39,403",54.5
48507,TX,"Zavala County, TX",7,9,0,"3,726","3,257",469,12.6,"3,750","3,252",498,13.3,"3,926","3,360",566,14.4,"4,193","3,612",581,13.9,"4,019","3,515",504,12.5,"3,865","3,413",452,11.7,"3,757","3,310",447,11.9,"3,720","3,321",399,10.7,"3,649","3,259",390,10.7,"3,932","3,364",568,14.4,"4,564","3,928",636,13.9,"4,598","3,932",666,14.5,"4,378","3,790",588,13.4,"4,006","3,421",585,14.6,"3,896","3,417",479,12.3,"3,810","3,381",429,11.3,"3,887","3,347",540,13.9,"3,706","3,289",417,11.3,"3,535","3,193",342,9.7,"3,323","3,042",281,8.5,"3,388","2,904",484,14.3,"3,281","2,874",407,12.4,"3,398","3,103",295,8.7,"3,470","3,216",254,7.3,"36,237",50.1